PR,Requisition Date,RFQ ID,RFQ Date,PO,PO Date,Fund Code,Project Name,Project ID,Requested BY,Buyer Name,Description,Qty,Unit of Measurment,Currency,Amount,Vendor Name,Invoice Number,System GRN Number,GRN Number,Doc. Received Date,Voucher ID,Cheque Number,Net Pay to Vendor,On hand status,Progress,location
6054,24/07/2019,1635,24/07/2019,5684,26/08/2019,US2GQ,Emergency,OCHAET0044,HIRUT MERGA,NSOLOMON,"20 liter jerrycan with virgin material - 3,000 Pcs, Washing basin- Diameter: 60 cm - 3,000 Pcs and 10 Liter Jerican with virgin material - 3,000 Pcs",3000,EA,ETB,708002.1,BISRAT PLC,FS NO 00000967,,,0000-00-00,,,0,RFQ Prepared on 25.7.2019/ under quotation collection/Quotation with its samples fully collected and waiting for pre-technical evaluation confirmation since 7.8.2019/technical inspection confirmation email received on 15.8.2019/waiting for proforma opening Quotation opened on 21.8.2019/SBA Prepared on 23.8.2019 and waiting for PC approval/SBA signed on 26.8.2019/PO placed on 26.8.2019/PO Approved on 28.8.2019 and dispatched to vendor on 30.8.2019/waiting for delivery/under transportation vehicle arrangement process /Item collected on 25.9.2019/Payment request received on 25.9.2019/ Document send for GRN on 26.9.2019/GRN issued and received on 1.10.2019/ document communicated to finance on 2.10.2019,Completed,Finance
6055,24/07/2019,,24/07/2019,5673,21/08/2019,US2GQ,Emergency,OCHAET0044,HIRUT MERGA,NSOLOMON,Purchase of soap 250 gm for dual purpose use i.e for Bathing and Laundry,20000,EA,ETB,380400.11,QUANTEM IMPORTER,FS NO 00000326,,,0000-00-00,,,0,RFQ placed on 26.7.2019/ under quotation collection/Quotation with its samples fully collected and waiting for pre-technical evaluation confirmation since 7.8.2019 /technical inspection confirmation email received on 15.8.2019/ waiting for proforma opening/ Quotation opened on 16.8.2019/ SBA Prepared and email confirmation received from requester unit on 21.8.2019/PO Placed on 21.8.2019/waiting for PO approval/Po approved on 28.8.2019/ PO dispatched to vendor on 29.8.2019/waiting for delivery/under transportation vehicle arrangement process/Item collected on 24.9.2019/Payment request received on 25.9.2019 but it has significant variance with the PO so it is under discussion with finance/Price variation letter received on 30.9.2019/Document Send for GRN same day /GRN issued and received on 1.10.2019/ document communicated to finance on 2.10.2019,Completed,Finance
6062,24/07/2019,,24/07/2019,5595,25/07/2019,US2H5,Emergency,OCHAET0048,HIRUT MERGA,NSOLOMON,Vehicle rental one long Base from 27/07/2019 to 25/08/2019 at Borena FOffice 1. - Plate Number 3-89373 - for 30 Days Vehicle rental one long Base from 27/07/2019 to 25/08/2019 at Borena FOffice 2. - Plate Number 3-A11435 - For 30 Days,30,DAY,ETB,126832.36,GETACHEW MOLLA CAR RENTAL SERVICE,REF NO GMCR/130/11,,,0000-00-00,,,0,PO placed on 25.7.2019/ vehicle checked on 25.7.2019 and ready to go to Borena/ PO placed on 25.7.2019 and dispatched to vendor /under service receiving/Service received and waiting for payment request/Payment request received on 17.9.2019 and document send for GRN same day/ GRN issued and received on 19.9.2019/ Document communicated to finance on 20.9.2019,Completed,Finance
6063,25/07/2019,,25/07/2019,5611,31/07/2019,CA403,Emergency,CCANET0047,HIRUT MERGA,NSOLOMON,Pen,375,PCE,ETB,9366.75,OSLO TRADING PLC,FS NO 00004393,5539,7205,0000-00-00,,,0,PO placed and dispatched to vendor/ item collected on 13.8.2019/ payment request received on 14.8.2019/document send for GRN on 16.8.2019/ GRN received on 21.8.2019 and document communicated to finance on 22.8.2019,Completed,Finance
6063,25/07/2019,,25/07/2019,Offline PO,20/08/2019,CA403,Emergency,CCANET0047,HIRUT MERGA,NSOLOMON,Rubber stamp( Manual) - 15 pcs Stamp Ink ( Manual )- 15 pcsRegistration Book- 15 pcsRuler 50 cm - 15 pcsStamp Pad manual - 15 pcs,15,EA,ETB,4590,YEMAME COMPUTER AND STATIONARIES SALES,3292,,,0000-00-00,,,0,To be processed /RFQ prepared/under quotation collection/ Quotation opened on 8.8.2019/ waiting for requester unit confirmation after reviewing the quotations/Confirmation received on 19.8.2019/PO Dispatched to vendor/ Item collected on 22.8.2019/ payment request received on 23.8.2019/ confirmation of receipt received on 27.8.2019/Document Communicated to finance on 28.8.2019 with Non PO Expense # 583,Completed,Finance
6068,25/07/2019,,25/07/2019,5597,25/07/2019,US2GQ,Emergency,OCHAET0044,HIRUT MERGA,NSOLOMON,Vehicle rental one long Base from 29/07/2019 to 27/08/2019 at East Hararghi FO - Plate Number 3-A41625,30,DAY,ETB,63416.18,GETACHEW MOLLA CAR RENTAL SERVICE,REF NO: GMCR/082/11,5593,7806,0000-00-00,,,0,PO placed on 25.7.2019/vehicle checked on 25.7.2019 and ready to go to East Hararghe PO placed on 25.7.2019 and dispatched to vendor/ under service receiving/service received/ payment request received on 2.9.2019/under GRN process/GRN issued and received on 9.9.2019/ document communicated to finance on 10.9.2019,Completed,Finance
6064,25/07/2019,,25/07/2019,5701,28/08/2019,CA403,Emergency,CCANET0047,HIRUT MERGA,NSOLOMON,Lockable metal cash box,15,PCE,ETB,25357.5,ERKAB PLC,FS NO 00001451,5659,7875,0000-00-00,,,0,RFQ Prepared on 26.7.2019/ under Quotation collection/under technical evaluation since 21.8.019 and waiting for confirmation/ Confirmation received on 28.8.2019/ PO dispatched to vendor on 29.8.2019/ vendor reminded to deliver and waiting for delivery/ Item collected on 8.10.2019 and payment request received/ document send for GRN same day/GRN issued and received on 11.10.2019/ Document to be communicated to finance on 14.10.2019.,Completed,Finance
6064,25/07/2019,,25/07/2019,Offline PO,19/08/2019,CA403,Emergency,CCANET0047,HIRUT MERGA,NSOLOMON,Padlocks -,45,PCE,ETB,3519,MULUGETA METAFERIA BUILDING MATERIALS,FS NO 0008756,,,0000-00-00,,,0,RFQ Prepared on 25.7.2019/under Quotation collection/ Quotation opened on 7.8.2019/ PO Dispatched to vendor and waiting for delivery/ Item delivered on 23.8.2019 /payment request received on 23.8.2019/ receiving confirmation received on 27.8.2019/Document Communicated to finance on 28.8.2019 with Non PO Expense # 583,Completed,Finance
6064,25/07/2019,,25/07/2019,Offline PO,15/08/2019,CA403,Emergency,CCANET0047,HIRUT MERGA,NSOLOMON,Fabric money-bags,30,PCE,ETB,2932.5,ERKAB PLC,FS NO 00001450,,,0000-00-00,,,0,RFQ Prepared on 25.7.2019/under Quotation collection/ Quotation opened on 7.8.2019/ Go ahead confirmation received on 15.8.2019/ PO Placed on 15.8.2019/waiting for delivery since 20.8.2019/ Item delivered on 5.9.2019/waiting for payment request/ Vendor reminded to submit payment request/payment request received on 8.10.2019/ Document to be Communicated to finance on 14.10.2019 with non PO Expense No. 608,Completed,Finance
6061,25/07/2019,,25/07/2019,5594,25/07/2019,US2H5,Emergency,OCHAET0047,HIRUT MERGA,NSOLOMON,Vehicle rental one long Base from 28/07/2019 to 26/08/2019 at West Hararghe Field Office 1. Plate Number 3-A64860 - For 30 Days Vehicle rental one long Base from 28/07/2019 to 26/08/2019 at West Hararga Field Office 2. Plate Number 3-A24795- For 30 Days Vehicle rental one long Base from 29/07/2019 to 27/08/2019 at West Hararghe Field office Plate Number -3-A07755 - for 30 days,30,EA,ETB,190248.54,GETACHEW MOLLA CAR RENTAL SERVICE,REF NO GMCR/096/11,5591,7804,0000-00-00,,,0,PO placed on 25.7.2019/ vehicle checked on 25.7.2019 and ready to go to West Hararghe /PO placed on 25.7.2019 and dispatched to vendor/ under service receiving/Service completed and payment request received on 5.9.2019 document send for GRN same day/GRN issued and received on 9.9.2019/ Document communicated to finance on 10.9.2019,Completed,Finance
6066,25/07/2019,,25/07/2019,5598,25/07/2019,US2H5,Emergency,OCHAET0046,HIRUT MERGA,NSOLOMON,Vehicle rental one long Base from 28/07/2019 to 26/08/2019 at East Hararga FOffice 1. - Plate Number 3-58081,30,DAY,ETB,63416.18,GETACHEW MOLLA CAR RENTAL SERVICE,REF NO GMCR/084/11,,,0000-00-00,,,0,PO placed on 25.7.2019/vehicle checked on 25.7.2019 and ready to go to East Hararghe /PO placed on 25.7.2019 and dispatched to vendor/under service receiving/Service Received and payment request received on 2.9.219/under GRN process//GRN issued and received on 9.9.2019/ Document communicated to finance on 10.9.2019,Completed,Finance
6067,25/07/2019,,25/07/2019,5599,26/07/2019,US2H5,Emergency,OCHAET0049,HIRUT MERGA,NSOLOMON,Vehicle rental one long Base from 29/07/2019 to 27/08/2019 at North Program. Plate Number 3- 66591,30,DAY,ETB,63416.18,GETACHEW MOLLA CAR RENTAL SERVICE,REF NO GMCR/079/11,5590,7803,0000-00-00,,,0,PO placed on 26.7.2019/vehicle checked on 26.7.2019 and ready to go to North Program /PO placed on 26.7.2019 and dispatched to vendor/ under service receiving/Service received and payment request received on 4.9.2019/ GRN issued and received on 9.9.2019/ document communicated to finance on 10.9.2019,Completed,Finance
6037,25/07/2019,,25/07/2019,5645,08/08/2019,NL259,Emergency,CNLDET0020,HIRUT MERGA,NSOLOMON,Vehicle Maintenance,2,PCE,ETB,162269.63,AEMERO MOTOR WORKSHOP AND ENGINEERING,FS NO 00005662,5562,7226,0000-00-00,,,0,RFQ Prepared on 26.7.2019/waiting for price Quotation/ Quotation received on 1.8.2019/ Quotation has an arithmetic error and document send to the vendor to correct it/ Corrected quotation received on 7.8.2019/ PO Placed on 8.8.2019/waiting for approval/ PO approved and dispatched on 15.8.2019/ Service received/ Payment request received on 22.8.2019/ Document send to GRN on 26.8.2019/GRN issued and received on 29.8.2019/document communicated to finance on 30.8.2019,Completed,Finance
0000005009 '0000004992 '0000005060,01/06/2018,,01/06/2018,5140,17/12/2018,NL227,RESET II,CNLDET0018,Aelaf Habte,ANEGASSA,RESET II Medicament and Medical Equipment,10,SET,ETB,20000,THIROMED TRADING PLC,,,,0000-00-00,,,0,"Re-bided with final submission date of 15.11.18/ quotations received/ Under financial analysis review/ SBA approved and waiting for budget variation approval from requester side/ PO Prepared and under approval/ PO issued and waiting for delivery/Partiallay delived/As per discussion with Robel at office the delivery of materials required one week starting from April 25,2019/not yet /Official letter for the request for extension for Order delivery date in reasoning the Hard currency shortage were received on May 23,2019 for one Month extension/not yet/in addition to requesting the advise from immediate supervise,the supplier contacted & informed to come to office on Aug 09,2019 then final decision will be takes place/Decided & Cancellation of Purchase Order through Reference # CARE /LL ?FY20# 89 issued to the Supplier on 21 August 2019 & waiting for credit invoice to settlement of partial deliveryRe-bided with final submission date of 15.11.18/ quotations received/ Under financial analysis review/ SBA approved and waiting for budget variation approval from requester side/ PO Prepared and under approval/ PO issued and waiting for delivery/Partially delivered/As per discussion with Robel at office the delivery of materials required one week starting from April 25,2019/not yet /Official letter for the request for extension for Order delivery date in reasoning the Hard currency shortage were received on May 23,2019 for one Month extension/not yet/in addition to requesting the advice from immediate supervisor, the supplier contacted & informed to come to office on Aug 09,2019 then final decision will be takes place/Decided & Cancellation of Purchase Order through Reference # CARE /LL ?FY20# 89 issued to the Supplier on 21 August 2019 & waiting for credit invoice to settlement of partial delivery/the supplies officer & the supplier discussed to finalize but credit invoice not yet from the supplier side/Finally finalized.",Completed,Finance
6039,25/07/2019,,25/07/2019,5646,08/08/2019,US17Y,Emergency,CRSXET0006,Wondimu Ejigayehu,NSOLOMON,Vehicle Maintenance,5,EA,ETB,58310.6,AEMERO MOTOR WORKSHOP AND ENGINEERING,FS NO 00005661,5563,7227,0000-00-00,,,0,RFQ Prepared on 26.7.2019/waiting for price Quotation/ Quotation received on 1.8.2019/ Quotation has an arithmetic error and document send to the vendor to correct it/ Corrected quotation received on 7.8.2019/ PO Placed on 8.8.2019/waiting for approval/PO approved and dispatched on 15.8.2019/ Service Received/payment request received on 22.8.2019/Document send to GRN on 26.8.2019/GRN issued and received on 29.8.2019/ document communicated to finance on 30.8.2019,Completed,Finance
6073,30/07/2019,,30/07/2019,5666,20/08/2019,US17Y,Emergency,CRSXET0006,Wondimu Ejigayehu,NSOLOMON,Vehicle Maintenance,9,EA,ETB,124342.79,AEMERO MOTOR WORKSHOP AND ENGINEERING,FS NO 00005722 AND 00005721,5571,7235,0000-00-00,,,0,RFQ Prepared on 31.7.2029/waiting for Price Quotation/Quotation received on 7.8.2019/Equation has an arithmetic error and document send to the vendor to correct it/Vendor Reminded/ still waiting/corrected RFQ received on 19.8.2019/PO Placed on 20.8.2019/service received/ payment request received on 27.8.2019/ document send for GRN on 28.8.2019/GRN issued and received on 3.9.2019/ Document communicated to finance on 3.9.2019,Completed,Finance
6082,01/08/2019,1647,01/08/2019,5683,26/08/2019,CA403,Emergency,CCANET0047,HIRUT MERGA,NSOLOMON,Disposable sanitary pad - Considering it's thickness and quality,42500,PKT,ETB,892457.5,LIJ YANGUS GENERAL TRADING PLC,FS NO 00000496,,,0000-00-00,,,0,RFQ Prepared on 2.8.2019/under quotation collection/ inspection confirmation received on 16.8.2019/waiting for quotation opening/Quotation opened on 22.8.2019/ SBA Prepared on 23.8.2019 and waiting for PC approval/SBA signed on 26.8.2019/PO placed on 26.8.2019/PO Approved on 28.8.2019 and dispatched to vendor on 29.8.2019/waiting for delivery under transportation vehicle arrangement process/ waiting for delivery/Item collected on 8.10.2019/Payment request received on 9.10.2019/ Document send for GRN same day/ GRN issued and received on 11.10.2019/ Document to be communicated to finance on 14.10.2019.,Completed,Finance
5806,14/03/2019,,14/03/2019,5491,30/05/2019,NL259,EU RESET II,CNLDET0020,Abigel Abraham,ANEGASSA,"Purchase of Submersible pump with complete accessories:Purchase of Submersible pump with complete accessories having; Bore Hole Daepth =54 meter, Pump Position =50 meter, design (Total) head = 180 mater, Design discharge = 2 l/s, 2",1,SET,ETB,526493,,,,,0000-00-00,,,0,"RFQ distributed with date quote closing March 25,2019/Technical proposal opened & under technical review starting March 28,2019/under bid opening for the financial part starting April 04,2019/SBA prepared and shared to all concerned & now waiting for the selection then physical inspection (all related Source Document received on May 08,2019)/waiting for physical inspection Report/The signed reporting format received on May 30,2019 and under PO award/Po prepared but needs override to be dispatched then place the PO/Technical clarification in connection with water temperature were confirmed & waiting for the final delivery/The vendor bring site issue letter on July 8, 2019 and under review by requesting unit since then/Site issue is solved and under informing vendor about uninstalling existing pump/Waiting for the final confirmation from the requester side as the focal person is here in Addis (HO) for official business purpose/delivered & Service receiving final Confirmation received on 20 August 2019 then payment requested,GRN Received on 21 August 2019 & Document communicated to Finance on 26 August 2019.",Completed,Finance
6052,24/07/2019,,24/07/2019,5696,27/08/2019,US2GQ,Emergency,OCHAET0044,HIRUT MERGA,NSOLOMON,"Aluminium plates - 6,000 Each Tea cups, 300 ml - 6,000 Each",6000,EA,ETB,228000.02,A.S.T TRADING,FS NO 00003826,5646,7862,0000-00-00,,,0,RFQ Prepared on 25.7.2019/ under quotation collection/ Quotation with its samples fully collected and waiting for pre-technical evaluation confirmation since 7.8.2019/ technical inspection confirmation email received on 14.8.2019/ waiting for proforma opening/ Quotation opened on 22.8.2019/SBA prepared on 23.8.2019 and waiting for PC approval/ SBA signed on 27.8.2019/PO placed on 27.8.2019/PO Approved on 29.8.2019 and to be dispatched to vendor/waiting for delivery since 2.9.2019/under transportation vehicle arrangement process/Item collected on 19.9.2019/waiting for payment request/ Payment request received on 30.9.2019/ document send for GRN on 1.10.2019 GRN issued and received on 3.10.2019/ Document communicated to finance on 4.10.2019,Completed,Finance
6083,05/08/2019,,05/08/2019,5641,07/08/2019,CA403,Emergency,CCANET0047,HIRUT MERGA,NSOLOMON,"Truck with trailer rental Vehicle for 8,000 pcs of Jerican and 8000 Pcs of bucket delivery transportation from Addis Abeba to FiltuTruck with trailer rental Vehicle for 192,000 Pcs of Soap delivery transportation from Addis Abeba to Filtu",4,PCE,ETB,250000,BABILE DOMESTIC LEVEL 2-B FREIGHT TRANS-,REF NO 2079/BA/JOM/26FRI/TR/0W/ASS.,5559,7223,0000-00-00,,,0,RFQ Prepared 5.8.2019/ Quotation opened on 6.8.2019/ confirmation received and PO placed on 7.8.2019/ PO Approved on 9.8.2019 and to be dispatched to the vendor/under service receiving since 13.8.2019 Service Received and payment request submitted on 26.8.2019/ GRN issued and received on 28.8.2019/ Document communicated to finance on 28.8.2019,Completed,Finance
6092,06/08/2019,,06/08/2019,5640,07/08/2019,US2HG,Emergency,IOMRET0002,HIRUT MERGA,NSOLOMON,"Transportation of 10,000 Pcs of Jerican and 30,000 Pcs of Soap from Addis Abeba to Adama Vehicle type 2 FSR 100 QTL capacity.",2,PCE,ETB,36100.8,GETACHEW MOLLA CAR RENTAL SERVICE,,,,0000-00-00,,,0,PO Placed on 7.8.2019/under service receiving/ service received and payment request received on 19.8.2019/document send to store for GRN process on 19.8.2019/ GRN issued on 21.8.2019/ document communicated to finance on 22.8.2019,Completed,Finance
5826,28/03/2020,Bid Announcement,28/03/2020,5476,22/05/2019,US000,SUSPET,SUSPET0004,Lwam Messele,AMENTI,Annual government audit for FY19 as per the attached TOR,0,EA,ETB,322000,A.W.THOMAS LIMITED PARTNERSHIP,Letter of fee note dated 26 December 2019,5910,8840,0000-00-00,92460,4741238,316400,"Waiting for the advertisement on two newsletters, The Ethiopian Herald & Ethiopian reporter up on the final conformation to be received from requesting unit. Advertisement properly done & The Auditors are under collection of Full TOR until April 10,2019.Under submission of the proposal, date time final submission will be April 15,2019 4:00PM/Bid opened and shared to Finance for technical evaluation purpose/Technical evaluation result revived on May 08,2019 and financial part opened on the same date/draft Contract prepared and shared to all concerned body and finally the Audit contract sent to the Audit firm on May 16,2019 for the signature/Audit Contract signed both side & waiting for PO approval online/PO Issued & under receiving the service/The contract end date tentative schedule will be on August 1, 2019 and reminder email for requesting unit sent on July 23, 2019/Contract extension approved until September 30, 2019 and under signing by vendor side/Contract sent to the Audit firm for the signature/Signed & under receiving service/waiting for the approval for Audit Service Contract extension up on official in advance request/reminder about the expiration date of contract that will be 30 September 2019/Extension approved until October 30,2019 & Extension of contract ready for the Signature by both party. The requesting for the validation of Performance bond as well as Professional Indemnity Policy period incorporated accordingly/all done & Extension of Audit Agreement signed by both party/The extended Contract period ended but in addition to discuss in person with the finance Director, the reminder repeatedly sent in advance on 24,29, and 30,October 2019 and finally reported to the immediate supervisor/waiting for final service receiving confirmation.Fee note (payment request) received on 26 December 2019 but needs the completed supporting document to add in to AVL accordingly as the Audit firm changed in name to MSE Auditors partnership,message transferred to the Audit firm through Mr Melaku Abeje on same date.All related document received and waiting for the name change approval.Now Approved & document communicated to Store on 15 January 2020 for the GRN.Finally Document communicated to finance on 16 January 2020.",Completed,Procurement
0000005813 Replaced By RequisitionID 0000005987,06/08/2019,Bid Announcement,06/08/2019,5549,24/06/2019,NL227,EU RESET II,CNLDET0018,Abigel Abraham,AMenti,Second Consultancy - formative research for RESET IIContract to conduct an Investigative Research Study: The improved management of knowledge and information in the Borana lowlands.,1,EA,ETB,1080482.5,UMA CONSULT PLC,Request for second phase payment ref No:UMA#22/2019,5698,7916,31/10/2019,89584,4474340,318507.45,"Bid opened & under Technical review, starting March 21,2019/under bid opening for the financial part. Bid opened & under Technical review, starting March 21,2019/under bid opening for the financial part./The procurement committee discussed on the requestor interest to negotiate with the selected bidder and decided to negotiate/ UMA consultancy invited for negotiation on May 17, 2019 but lately postponed and Need to set a time when all concerned are available/Based on the discussion happened between Procurement committee and the Consultant, the firm advised to provide revised financial and technical proposal/Submitted to the procurement Manager & waiting for final confirmation to proceed with the next action/the Procurement committee Approved Minute & Requisition ID replacement received on June 17,2019 & Draft contract shared on June 18,2019 to the consultant and the Requesting project, now ready & agreed to be signed on June 24,2019/Signed & the PO was to be created on same date but no internet service starting from 24 June 2019 until now in connection with the current security issues in the country/under receiving the service but PO to be dispatched & issued / Ready to issue purchase order/ PO issued/1st 30% payment requested & waiting for GRN starting Aug 06, 2019 Document Communicated to finance/The First 30% payment effected/Approval received to extend the Consultant agreement period to October 31 2019/Consultant Agreement signature finalized and under receiving service/Reminder about contract end date communicated on 24 October & payment request received for the second payment, current status update as well/Consultant Agreement extension approved until 31st December 2019. Approved extended Consultant agreement period to February 29, 2020, for the third time.",Ongoing,Procurement
0000005882 replaced By 0000006031,05/12/2019,1595,05/12/2019,5644,08/08/2019,NL178,PfR,CNLDET0012,Aelaf Habte,Amenti,Consultancy service to Prepare Disaster Risk Management Strategy and Implementation Guideline for the Afar RegionThe duration for consultancy services will be 45 working daysToR is attached on the comment box for further processing,1,EA,ETB,296340,BAHIR DAR UNIVERSITY,Requesting fund transfer Ref.No:01/3748/1-1-4,5960,8909,18/02/2020,93717,,0,"The Non-Competitive Procurement Justification form completed but the Supplier is on Inactive status and North FO communicated in supporting to provide the source document regarding the Supplier Payee set up proceeds as the supplier initially entered into PS through respective FO/Waiting for the Supplier to be activated/not yet but Gentle reminder takes place/Activation Confirmed on June 06, 2019, and RFQ prepared to share BAHIR Dar University/Waiting for both Technical & Financial Proposal/Proposals received on June 20, 2019, & under Contract preparation/Budget vary from the initially indicated on the Requisition & Non-competitive procurement justification form and should be re-filled the form and raise the requisition as a replacement. waiting requestor amendment of purchase request and Non-competitive bidding and mode of payment amended on their TOR. Waiting purchase request, Non-Competitive and mode of payment amendment from the requestor to proceed. Ready to prepare a contract agreement. Soft copy of contract agreement was sent to Consultants found at Bahirdar and waiting scanned signed agreement to commence the task then waiting the hard copy of the contract agreement in two copies through proposal office as per our communication via email/Consultant agreement signed & under PO approval online/PO approved & 1st Payment transferred on 23 August 2019/under reviving the remaining service/Extension of Consultant agreement period requested/Approved until 27 December 2019 & Extension of Consultant Agreement Singed From CARE Ethiopia side & the scanned Copy Shared to the university for the signature/ Signed & under service receiving/second payment requested through email dated 28 Nov 2019 and waiting for approval/requesting for second 40% payment transfer approved & document communicated to store on 02 December 2019 for GRN. Final 30% payment requested through an email dated 27 January 2020 and Final report received through DHL on 07 February 2020 and then document Communicated the store for the GRN. Document Communicated to finance on 14 February 2020.",Ongoing,Finance
5899,07/05/2019,Bid Announcement,07/05/2019,5752,24/09/2019,DE879,Boresha,EDEUET0007,Aelaf,Amenti,School water supply activities for Dolo odo and dolo bye WoredasWater supply project for 9 schools in the specific woredasNote: Bid document is attached for further details of the work.,8,EA,ETB,1042155.69,Bulsho General Construction and Procurement Cooperative,Payment request for eight school water points with Ref No.BGC/197/2019dated 08/10/2019 & approved on 09/10/2019.,5804,8026,10/12/2019,,,0,"Waiting for the advice how we can proceed the Bid at the area as the requesting unit and Technical Person recommended that it is more acceptable and feasible to make the Bid in Somalia region/Final Bid document communicated on May 23, 2019, but still waiting for further clarification how can the bid advertisement to be handled as well as what the Bid advertisement to be looks like as required/not yet except exchange of ideas but Gentle reminder takes place/Invitation to bid ready & will be sent to the advertisement this afternoon/Advertised but the Submission date Extended until June 28,2019/Two namely from Messay Melese & Gojo Engineering Documents received until the handover note. The bid was collected from Dolo Odo and submitted to the procurement manager for procurement committee opening./ procurement committee opened the bid on July 19, 2019, and document submitted for technical evaluation on July 23, 2019. Under checking arithmetic error/Under final BOQ checking in unit rate detail per contractor & SBA preparation, to sharing to the concerned party/shared & confirmation received on 16 August 2019,now under SBA approval by Procurement Committee then the Contract to be entered in to PS for the Supplier ID purpose along with draft contract preparation/finally SBA Approved on 22 August 2019,the scanned copy sent to procurement admin assistant for the Contractor ID purpose/under approval for the supplier ID but Draft contract shared to technical person in the meantime/Supplier ID Approved On 27 August 2019/Notification of award signed & sent to the Contractor on 29 August 2019/Contract agreement signed & waiting for performance bond to the next action/the Scanned CPO received through email but still waiting for the original-one through the focal person at Dolo Odo(Ahmed Mohamed/PO created & waiting for approval online/PO approved online on 30 September 2019 & dispatched/hard copy PO approved on 01 October & scanned copy ready to share to the contractor for the signature/Shared & the Construction work is on progress/40% completed with minor finishing work/work on progress & waiting for payment certificate for the accomplished work as the contractor were not initially request the advance payment/the Reminder in connection with intended completion date for the whole of the works (after 20 days) were sent in advance on 14 November 2019 to all concerned body/date fixed for 22 Nov 2019 for the discussion with the Technical personETB 728,593.02 Payment request for the executed work amount received with all proper approval and document communicated to store on 04 December 2019 for the GRN./ /Document forwarded to finance 6/12/19 73.09%./Waiting for contract extension approval from Samuel Eshetu/Request forwarded to Hiwot .Contract Document extension approval received until 04 February 2020. Now the Construction work is finalized & Waiting for the final payment certificate.Since the final net payment certificate vary in more by Birr 54,764.86 from the principal Contract document, justification as well as appropriate approval for the variation requested on 14 and the reminder did on 17 February 2020 but not yet.",Ongoing,Procurement
5947,05/06/2019,,05/06/2019,5521,17/06/2019,NL178,PfR,CNLDET0012,Aelaf,Amenti,Consultancy service on Camel milk production & marketing as per the attached ToR on the comment box,1,EA,ETB,17350,ALEMAYEHU FELEKE BEJIGA,,,,0000-00-00,,,0,Under Consultant agreement preparation/PO reserved & under receiving the service/PO to be dispatched & issued. Ready to issue purchase order./ Purchase order was issued. Waiting service delivery/Document Communicated to finance but returned back because of 30% withholding tax issue but now the issue solved in consultation with finance unit & the budget holder & waiting for re-receiving of system GRN starting 27 August 2019/Completed.,Completed,Finance
5978,17/06/2019,Bid Announcement,17/06/2019,5709,05/09/2019,DE879,Boresha,CDEUET0007,Aelaf,Amenti,Dolo odo construction and rehabilitation of water supply projects of BORESHA project in Dolo Adoas per the attached ToRSite: Suftu and Didin kebele,1,EA,ETB,2056072.1,Mohamed Hajir Abdile,Request for Payment Ref: x/A/C/29/2019,5804,8026,10/12/2019,,,0,"The Invitation to Bid will be announced on June 23,2019/announced with the Final submission date of July 05, 2019. The bid was collected from Dolo Odo and submitted to the procurement manager for procurement committee opening./ procurement committee opened the bid on July 19, 2019, and document submitted for technical evaluation on July 23, 2019. As per the email dated on August 01,2019 the document send for Amenti/under BOQ Arithmetic check then SBA./BOQ in unit rate detail per contractor & SBA Shared and the response from technical person received on August 08,2018 but still further confirmation required from the Technical perspective and the next action,SBA approval Procurement committee,Contract, and awarding stage will continue/Draft contract agreement shared to all concerned so reviewed and confirmation received on 22 August 2019, also Notification of Award signed,scanned & forwarded to the contractor through CARE Ethiopia Focal person at DOLO Odo/Contract Agreement signed,scanned & forwarded to the contractor through same person on 28 August 2019/Contract agreement signed by both party & waiting for performance bond to the next action/the Scanned CPO received through email but still waiting for the original-one through the focal person at Dolo Odo (Ahmed Mohamed/PO created & waiting for approval online/PO approved online on 30 September 2019 & dispatched/hard copy PO apprved on 01 October & scanned copy raedy to share to the contractor for the signiture/Shared & the Construction work is on progress/Suftu Town Reservoir construction was not yet started due to the community are over ambitioned and requested to construct Elevated Reservoir rather than our first agreed ground reservoir & Waiting for facilitation having confirmation official letter from Dolo odo Woreda Water bureau before start of Construction Suftu reservoir/same on hand status/date fixed for 22 Nov 2019 for the discussion with the Technical person/Payment request revived & approved on 02 December 2019 and document communicated to store for the GRN.//Document forwarded to finance 6/12/19 for 49.98%/Contract extension ready missing some part and Jalalie approval/Approved and Extension submitted for signing 13/12/19/Extension signed and sent to contractor for signature 18/12/19/Extension signed both side. Under receiving the service until 15 February 2020 of Extension date.Approved extended Contract Document period to March 30, 2020, for the second time.",Ongoing,Procurement
